place_id,place_name,coords,geometry
{'place_id': '824bcfd389683242'},"Rustenburg, South Africa","[27.1197682, -25.8175774, 27.3357315, -25.5893772]",POINT (27.227749850000002 -25.703477300000003)
{'place_id': '7db53e74bdc6007e'},"Walkerville, South Africa","[27.8931563, -26.554172, 28.0783242, -26.3351529]",POINT (27.98574025 -26.444662450000003)
{'place_id': '07d9ca039f082001'},"Lucas ""Masterpieces"" Moripe Stadium","[28.072701472593145, -25.775832534428147, 28.072701472593145, -25.775832534428147]",POINT (28.072701472593145 -25.775832534428147)
{'place_id': 'ce95c16ec6ba3d50'},"Bedfordview, South Africa","[28.1127369, -26.1967921, 28.1606167, -26.1491288]",POINT (28.1366768 -26.172960449999998)
{'place_id': '09ea1245a14a77f7'},"Dullstroom, South Africa","[30.0615034, -25.4697804, 30.1608764, -25.3784543]",POINT (30.1111899 -25.424117350000003)
{'place_id': '07d9e4a11b882000'},Christian Family Church International,"[28.268702962878557, -26.133714372566025, 28.268702962878557, -26.133714372566025]",POINT (28.268702962878557 -26.133714372566025)
{'place_id': '810e12ec4af983de'},"Bloemfontein, South Africa","[26.0019056, -29.2319585, 26.4243136, -28.9812176]",POINT (26.213109600000003 -29.10658805)
{'place_id': 'f16913d3f6acb7f1'},"Mamelodi, South Africa","[28.3213448, -25.7363127, 28.4520433, -25.6853107]",POINT (28.38669405 -25.7108117)
{'place_id': '7efc470da463c9f0'},"Soweto, South Africa","[27.7947598, -26.3054355, 27.9557837, -26.2074073]",POINT (27.875271750000007 -26.2564214)
{'place_id': 'a4b4b7633f48b449'},"Brakpan, South Africa","[28.2604979, -26.4069205, 28.4157499, -26.1932132]",POINT (28.3381239 -26.30006685)
{'place_id': 'a94e7deace25e818'},"Villiersdorp, South Africa","[19.2731762, -34.0006636, 19.2985661, -33.9803734]",POINT (19.28587115 -33.9905185)
{'place_id': '07d9d4949dc80001'},Dorothy Nyembe Park,"[27.875962257385254, -26.220828071340506, 27.875962257385254, -26.220828071340506]",POINT (27.875962257385254 -26.220828071340506)
{'place_id': 'c257bb97f95ba4c8'},"East London, South Africa","[27.7630661, -33.1028619, 27.9520989, -32.941166]",POINT (27.8575825 -33.02201395)
{'place_id': '1ef11eb1a65f48ee'},"Butterworth, South Africa","[28.1336322, -32.3438076, 28.2399326, -32.2725749]",POINT (28.1867824 -32.30819125)
{'place_id': '97871258986f2a65'},"Boipatong, South Africa","[27.8375888, -26.679771, 27.8567596, -26.6605289]",POINT (27.847174199999998 -26.67014995)
{'place_id': 'ed542a0727771539'},"Calvinia, South Africa","[19.7483728, -31.4799628, 19.8056667, -31.3962328]",POINT (19.777019749999997 -31.4380978)
{'place_id': '470ca370dbd02669'},"Langa, South Africa","[18.5162475, -33.9534874, 18.5430182, -33.9382138]",POINT (18.52963285 -33.9458506)
{'place_id': 'a6de57f8441398d4'},"Soshanguve, South Africa","[28.0390226, -25.6078888, 28.1503403, -25.367145]",POINT (28.09468145 -25.487516900000003)
{'place_id': 'e5e14316a79d7ef4'},"King Williams Town, South Africa","[27.3485737, -32.9110672, 27.4337416, -32.835865]",POINT (27.39115765 -32.8734661)
{'place_id': '146946c39ed57000'},The Maslow Hotel,"[28.058868031199115, -26.09896696361816, 28.058868031199115, -26.09896696361816]",POINT (28.058868031199115 -26.09896696361816)
{'place_id': '3c495402896e59e9'},"Zeerust, South Africa","[26.0631386, -25.5721943, 26.1101256, -25.5185197]",POINT (26.0866321 -25.545357)
{'place_id': '00d8d13a6f5fcedf'},"Strand, South Africa","[18.8100222, -34.1709801, 18.9287187, -34.0904234]",POINT (18.869370449999998 -34.13070175)
{'place_id': 'f8f997bca76f6770'},"Sharpeville, South Africa","[27.8601687, -26.6999473, 27.8925518, -26.6707868]",POINT (27.87636025 -26.68536705)
{'place_id': 'f18b2ca47e8f60b5'},"Mount Edgecombe, South Africa","[31.0062948, -29.7472774, 31.0611768, -29.6875277]",POINT (31.0337358 -29.717402550000003)
{'place_id': '3ac88b980d02b323'},"Stanger, South Africa","[31.2034057, -29.4455852, 31.3087978, -29.3031501]",POINT (31.25610175 -29.374367650000003)
{'place_id': 'd2d1ab2169e801e5'},"Marburg, South Africa","[30.3937572, -30.7567472, 30.4369356, -30.7248541]",POINT (30.4153464 -30.74080065)
{'place_id': '1d9b85f4cd86b224'},"Bellville, South Africa","[18.589352, -33.9412227, 18.6772826, -33.8393269]",POINT (18.6333173 -33.8902748)
{'place_id': '65246f89990cd015'},"Vanderbijlpark, South Africa","[27.6730851, -26.7995128, 27.8926006, -26.6050833]",POINT (27.78284285 -26.70229805)
{'place_id': '3cec466ce1237f9b'},"Bethal, South Africa","[29.415594, -26.514806, 29.4953454, -26.418686]",POINT (29.455469700000002 -26.466746)
{'place_id': '4ec9da6f844e59df'},"Krugersdorp, South Africa","[27.6133572, -26.1811025, 27.8401902, -26.0231441]",POINT (27.7267737 -26.102123300000002)
{'place_id': 'd5a23180edcb8816'},"Newlands, South Africa","[30.9253692, -29.8038388, 31.0100979, -29.7612315]",POINT (30.96773355 -29.78253515)
{'place_id': 'd0848b8367022de8'},"Polokwane, South Africa","[29.3915768, -23.9976483, 29.5624256, -23.8348207]",POINT (29.4770012 -23.9162345)
{'place_id': 'f1cdbc8568f9d5c0'},"Mitchell's Plain, South Africa","[18.5210965, -34.1389927, 18.6702076, -33.9970032]",POINT (18.595652049999998 -34.067997950000006)
{'place_id': 'cdf240a7620fb891'},"Mamre, South Africa","[18.4604863, -33.5205448, 18.4846189, -33.5055774]",POINT (18.4725526 -33.5130611)
