,text,Date,geometry,author_followers,retweets,replies,likes,quote_count,Subjectivity,Polarity,Analysis,Place0,Place1,Place2,Place3
1013,I hope things of the Solomon'ing Daleka @UFS_SRC https://t.co/AYEB5ibayg,2017-10-18,POINT (26.213109600000003 -29.10658805),736,0,0,0,0,0.0666666666666666,0.0,Neutral,Free State,Mangaung,Mangaung,19
1014,"The following year we forced to cut the number we accept, lecturer must prove they not the issue and there's no subsidy for such student https://t.co/ZAsGKgROX2",2017-10-18,POINT (29.4770012 -23.9162345),3674,0,0,0,0,0.0,0.0,Neutral,Limpopo,Capricorn,Polokwane,22
1015,It would be very naive to ignore the blatant conflict of interest that exists in employees of the university voting in SRC elections https://t.co/UqpGNld8uC,2017-10-18,POINT (28.1361401 -25.860880649999995),16750,3,0,1,0,0.0666666666666666,0.0,Neutral,Gauteng,City of Tshwane,City of Tshwane,70
1016,The Pan Africanist Student Movement of Azania waiting for memorandum to be received at the Union Buildings demanding free education @ANN7tv https://t.co/6Lwfv3Tyqb,2017-10-18,POINT (28.184066 -25.75260515),300,5,3,4,1,0.0,0.0,Neutral,Gauteng,City of Tshwane,City of Tshwane,60
1017,"Can we please make sure we cast our votes and have a say on who's in office at our university comrades, Amandla! ✊ https://t.co/sViifeVy0s",2017-10-18,POINT (27.968098050000002 -26.276138500000002),1081,2,0,1,0,0.0,0.0,Neutral,Gauteng,City of Johannesburg,City of Johannesburg,125
1018,"You owe people paying for your fees, your parents, yourself, res manager coz somebody else also needs the room. People who are praying for u https://t.co/bbH0N2cgPp",2017-10-18,POINT (28.31310575 -25.6393732),6243,12,1,3,1,0.3958333333333333,0.35,Positive,Gauteng,City of Tshwane,City of Tshwane,87
1019,Surely this is a conflict of interest. @WitsElections are there rules around full time employees of the university voting in SRC elections? https://t.co/rA2etjzTyk,2017-10-18,POINT (27.968098050000002 -26.276138500000002),16750,1,2,0,1,0.5,0.1363636363636363,Positive,Gauteng,City of Johannesburg,City of Johannesburg,125
1020,"The next person that's going to ask me ""how school is going"" is not only going to catch a block, but I'm throwing hands too, ffs. https://t.co/dRwo9N8r6N",2017-10-18,POINT (28.184066 -25.75260515),11189,2,1,0,1,0.0,0.0,Neutral,Gauteng,City of Tshwane,City of Tshwane,60
1021,Tut Students in Main Campus preparing thier self for a strike today @ThulasSims @eNCA,2017-10-18,POINT (28.01770205 -25.45530335),698,0,0,0,0,0.0,0.0,Neutral,North West,Bojanala,Local Municipality of Madibeng,8
1022,"Exams approaching.... Can we have a strike UFS comrades, please?😂😂",2017-10-18,POINT (26.213109600000003 -29.10658805),3940,1,1,1,2,0.0,0.0,Neutral,Free State,Mangaung,Mangaung,19
1023,"UKZN SRC Elections Manifesto ❤❤🙌🙌 EFFSC izophatha 
#kubo @ UKZN, Howard College Campus https://t.co/d9I4yauwSA",2017-10-17,POINT (30.97257945 -29.9006358),2166,2,0,4,0,0.0,0.0,Neutral,KwaZulu-Natal,eThekwini,eThekwini,64
