,Unnamed: 0.1,Unnamed: 0,tweet_id,author_followers,text,created_at,retweets,replies,likes,quote_count,place_id,place_name,cleaned_text,geometry,universities
44,44,44,922795986027732993,210,"You can’t have free education now. Our economy, infrastructure and government is not prepared. It’s a goal we should strive for, and achieve https://t.co/8y1VSp54tF",2017-10-24 12:04:42+00:00,0,0,0,0,{'place_id': 'd73e8f8ebdd03aff'},"Randburg, South Africa",can’t free education economy infrastructure government prepare it’s goal strive achieve,POINT (27.95745755 -26.0197197),
45,45,45,922792917609181185,3899,I really hope protestors don't come and disrupt my accounting lecture in Menzies lecture theatre 9 from 14:00 to 14:45,2017-10-24 11:52:30+00:00,1,0,2,2,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",really hope protestors come disrupt accounting lecture menzies lecture theatre,POINT (18.4241 -33.9249),
46,46,46,922792614235131904,210,"No one wants to pay for education. Free education would benefit all. However, not everyone agrees with methods of intimidation used by #FMF",2017-10-24 11:51:18+00:00,0,0,0,0,{'place_id': 'd73e8f8ebdd03aff'},"Randburg, South Africa",one want pay education free education would benefit however everyone agree method intimidation use,POINT (27.95745755 -26.0197197),
47,47,47,922791623980994560,4042,#UCTshutdown “If the university increases fees it must fall.” - student leader. @TeamNews24 https://t.co/IEa7Rh2JEn,2017-10-24 11:47:22+00:00,0,1,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",“if university increase fee must fall.” student leader,POINT (18.4612 -33.9577),['University of Cape Town ']
48,48,48,922789798452039680,4042,#UCTshutdown SRC says it will respond “decisively” to the proposed 8-10%. “We will be ‘touring’ campus this afternoon.” @TeamNews24 https://t.co/zIHE4M5ZmW,2017-10-24 11:40:07+00:00,0,0,1,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",src say respond “decisively” propose “we ‘touring’ campus afternoon.”,POINT (18.4612 -33.9577),['University of Cape Town ']
49,49,49,922789295865389056,4042,#UCTshutdown SRC calls for the “demilitarisation” of UCT. Crowd replies with applause. @TeamNews24,2017-10-24 11:38:07+00:00,1,0,2,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",src call “demilitarisation” uct crowd reply applause,POINT (18.4612 -33.9577),['University of Cape Town ']
50,50,50,922787711370649602,4042,#UCTshutdown the SRC says there is a necessity for “activation” on UCT’s campus against the fee increase. @TeamNews24 https://t.co/8AmApAKAhp,2017-10-24 11:31:49+00:00,0,0,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",src say necessity “activation” uct’s campus fee increase,POINT (18.4612 -33.9577),['University of Cape Town ']
51,51,51,922787289943756800,4042,#UCTshutdown The SRC condemns the increase of private security and police on the UCT campus. “The are provoking us.” @TeamNews24,2017-10-24 11:30:09+00:00,0,0,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",src condemns increase private security police uct campus “the provoking us.”,POINT (18.4612 -33.9577),['University of Cape Town ']
52,52,52,922787034531540999,4042,#UCTshutdown SRC says UCT rector Max Price received a 40% salary increase. @TeamNews24,2017-10-24 11:29:08+00:00,0,0,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",src say uct rector max price receive salary increase,POINT (18.4612 -33.9577),['University of Cape Town ']
53,53,53,922786487770415104,4042,#uctshutdown “the SRC rejects UCT’s proposed fee increase wholeheartedly.” @TeamNews24 https://t.co/lAWeJTqKO3,2017-10-24 11:26:57+00:00,2,0,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",“the src reject uct’s propose fee increase wholeheartedly.”,POINT (18.4612 -33.9577),['University of Cape Town ']
54,54,54,922786077617852416,4042,#uctshutdown SRC the burden of fees should not be carried by students. “We are committed to free education.” @TeamNews24 https://t.co/N3X2FA9fX2,2017-10-24 11:25:20+00:00,0,0,2,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",src burden fee carry student “we committed free education.”,POINT (18.4241 -33.9249),
55,55,55,922785813250887680,4042,#uctshutdown The SRC says the university said it is operating at a deficit and was forced to increase fees between 8-10%. @TeamNews24 https://t.co/lirJ1Hw8LE,2017-10-24 11:24:17+00:00,1,0,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",src say university say operating deficit force increase fee,POINT (18.4241 -33.9249),
56,56,56,922784890688589825,4042,JUST IN: The UCT SRC says the institution is planning a feee increase of between 8 to 10%. #uctshutdown @TeamNews24,2017-10-24 11:20:37+00:00,3,0,3,1,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",uct src say institution plan feee increase,POINT (18.4612 -33.9577),['University of Cape Town ']
57,57,57,922782877686927360,724,"Offer free education, in that way strikes will not be necessary!! https://t.co/zRh6KeE9mK",2017-10-24 11:12:37+00:00,0,0,0,0,{'place_id': 'f344308959b070f6'},"Mohlakeng, South Africa",offer free education way strike necessary,POINT (27.699714649999997 -26.23092885),
58,58,58,922779820093734912,13212,@UCT_SRC @VernacNews Mass Meeting at Jameson Hall. 12:59 https://t.co/j7n7oqqPVH,2017-10-24 11:00:28+00:00,1,0,3,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",mass meeting jameson hall,POINT (18.4612 -33.9577),['University of Cape Town ']
59,59,59,922770773957398528,5050,UCT is having a mass meeting this afternoon at 13:00 #UCTShutdown #UFSShutdown,2017-10-24 10:24:31+00:00,2,0,5,0,{'place_id': '810e12ec4af983de'},"Bloemfontein, South Africa",uct mass meeting afternoon,POINT (26.213109600000003 -29.10658805),"['University of Cape Town ', 'University of the Free State']"
60,60,60,922680021998817280,14438,"Let’s be honest though, Wits fighters are not capable of leading a protest!",2017-10-24 04:23:54+00:00,1,1,4,2,{'place_id': '178a87b8e2eaa375'},"Sandton, South Africa",let’s honest though wits fighter capable lead protest,POINT (28.0305 -26.1929),['University of the Witwatersrand']
