,tweet_id,author_followers,text,created_at,retweets,replies,likes,quote_count,place_id,place_name,mentioned_users,hashtags,emojis,urls,cleaned_text,geometry,grievances,triggers,tactics,actors,locations,weapons,eventualities,curiosities,non_protests,Subjectivity,Polarity,Analysis
46,922791623980994560,4043,#UCTshutdown “If the university increases fees it must fall.” - student leader. @TeamNews24 https://t.co/IEa7Rh2JEn,2017-10-24 11:47:22+00:00,0,1,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@TeamNews24'],['#UCTshutdown'],,https://t.co/IEa7Rh2JEn,“if university increase fee must fall.” student leader,POINT (18.4241 -33.9249),['Education'],,['Picket'],,['Tertiary Edu'],,,,,0.0,0.0,Neutral
47,922789798452039680,4043,#UCTshutdown SRC says it will respond “decisively” to the proposed 8-10%. “We will be ‘touring’ campus this afternoon.” @TeamNews24 https://t.co/zIHE4M5ZmW,2017-10-24 11:40:07+00:00,0,0,1,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@TeamNews24'],['#UCTshutdown'],,https://t.co/zIHE4M5ZmW,src say respond “decisively” propose “we ‘touring’ campus afternoon.”,POINT (18.4241 -33.9249),['Proposed legislation'],,,,"['Informal area', 'Tertiary Edu']",,,,,0.0,0.0,Neutral
48,922789295865389056,4043,#UCTshutdown SRC calls for the “demilitarisation” of UCT. Crowd replies with applause. @TeamNews24,2017-10-24 11:38:07+00:00,1,0,2,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@TeamNews24'],['#UCTshutdown'],,,src call “demilitarisation” uct crowd reply applause,POINT (18.4241 -33.9249),,,,,,,,,,0.0,0.0,Neutral
49,922787711370649602,4043,#UCTshutdown the SRC says there is a necessity for “activation” on UCT’s campus against the fee increase. @TeamNews24 https://t.co/8AmApAKAhp,2017-10-24 11:31:49+00:00,0,0,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@TeamNews24'],['#UCTshutdown'],,https://t.co/8AmApAKAhp,src say necessity “activation” uct’s campus fee increase,POINT (18.4241 -33.9249),,,,,"['Informal area', 'Tertiary Edu']",,,,,0.0,0.0,Neutral
50,922787289943756800,4043,#UCTshutdown The SRC condemns the increase of private security and police on the UCT campus. “The are provoking us.” @TeamNews24,2017-10-24 11:30:09+00:00,0,0,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@TeamNews24'],['#UCTshutdown'],,,src condemns increase private security police uct campus “the provoking us.”,POINT (18.4241 -33.9249),,,,,"['Informal area', 'Tertiary Edu']",,,,,0.375,0.0,Neutral
51,922787034531540999,4043,#UCTshutdown SRC says UCT rector Max Price received a 40% salary increase. @TeamNews24,2017-10-24 11:29:08+00:00,0,0,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@TeamNews24'],['#UCTshutdown'],,,src say uct rector max price receive salary increase,POINT (18.4241 -33.9249),,['Wage disputes'],,,,,,,,0.0,0.0,Neutral
52,922786487770415104,4043,#uctshutdown “the SRC rejects UCT’s proposed fee increase wholeheartedly.” @TeamNews24 https://t.co/lAWeJTqKO3,2017-10-24 11:26:57+00:00,2,0,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@TeamNews24'],['#uctshutdown'],,https://t.co/lAWeJTqKO3,“the src reject uct’s propose fee increase wholeheartedly.”,POINT (18.4241 -33.9249),['Proposed legislation'],,,,,,,,,0.0,0.0,Neutral
53,922786077617852416,4043,#uctshutdown SRC the burden of fees should not be carried by students. “We are committed to free education.” @TeamNews24 https://t.co/N3X2FA9fX2,2017-10-24 11:25:20+00:00,0,0,2,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@TeamNews24'],['#uctshutdown'],,https://t.co/N3X2FA9fX2,src burden fee carry student “we committed free education.”,POINT (18.4241 -33.9249),['Education'],,,,['Tertiary Edu'],,,,,0.8,0.4,Positive
54,922785813250887680,4043,#uctshutdown The SRC says the university said it is operating at a deficit and was forced to increase fees between 8-10%. @TeamNews24 https://t.co/lirJ1Hw8LE,2017-10-24 11:24:17+00:00,1,0,0,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@TeamNews24'],['#uctshutdown'],,https://t.co/lirJ1Hw8LE,src say university say operating deficit force increase fee,POINT (18.4241 -33.9249),['Education'],,,,,,,,,0.2,-0.30000000000000004,Negative
55,922784890688589825,4043,JUST IN: The UCT SRC says the institution is planning a feee increase of between 8 to 10%. #uctshutdown @TeamNews24,2017-10-24 11:20:37+00:00,3,0,3,1,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",['@TeamNews24'],['#uctshutdown'],,,uct src say institution plan feee increase,POINT (18.4241 -33.9249),,,,,,,,,,0.0,0.0,Neutral
56,922782877686927360,723,"Offer free education, in that way strikes will not be necessary!! https://t.co/zRh6KeE9mK",2017-10-24 11:12:37+00:00,0,0,0,0,{'place_id': 'f344308959b070f6'},"Mohlakeng, South Africa",,,,https://t.co/zRh6KeE9mK,offer free education way strike necessary,POINT (27.699714649999997 -26.23092885),,,,,,,,,,0.9,0.2,Positive
57,922779820093734912,13217,@UCT_SRC @VernacNews Mass Meeting at Jameson Hall. 12:59 https://t.co/j7n7oqqPVH,2017-10-24 11:00:28+00:00,1,0,3,0,{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa","['@UCT_SRC', '@VernacNews']",,,https://t.co/j7n7oqqPVH,mass meeting jameson hall,POINT (18.4241 -33.9249),,,['Meeting'],,,,,,,0.0,0.0,Neutral
58,922770773957398528,5050,UCT is having a mass meeting this afternoon at 13:00 #UCTShutdown #UFSShutdown,2017-10-24 10:24:31+00:00,2,0,5,0,{'place_id': '810e12ec4af983de'},"Bloemfontein, South Africa",,"['#UCTShutdown', '#UFSShutdown']",,,uct mass meeting afternoon,POINT (26.213109600000003 -29.10658805),,,['Meeting'],,,,,,,0.0,0.0,Neutral
59,922680021998817280,14435,"Let’s be honest though, Wits fighters are not capable of leading a protest!",2017-10-24 04:23:54+00:00,1,1,4,2,{'place_id': '178a87b8e2eaa375'},"Sandton, South Africa",,,,,let’s honest though wits fighter capable lead protest,POINT (28.06061305 -26.058708),,,,,,,,,,0.65,0.2375,Positive
