place_id,place_name,coords,geometry
{'place_id': '7f38799462acabcf'},"Uvongo, South Africa","[30.3692363, -30.8534537, 30.4032813, -30.8096112]",POINT (30.3862588 -30.831532449999997)
{'place_id': 'f16913d3f6acb7f1'},"Mamelodi, South Africa","[28.3213448, -25.7363127, 28.4520433, -25.6853107]",POINT (28.38669405 -25.7108117)
{'place_id': 'afb35fd1d77106c5'},"Bohlokong, South Africa","[28.3028581, -28.2310059, 28.3431308, -28.1825104]",POINT (28.322994450000003 -28.20675815)
{'place_id': '07d9e3c903083002'},Jonkershuis Restaurant,"[18.41894095683067, -34.03071406873821, 18.41894095683067, -34.03071406873821]",POINT (18.41894095683067 -34.03071406873821)
{'place_id': '30279ef1f3f29e20'},"Saint Helena Bay, South Africa","[17.9690878, -32.7968354, 18.0804261, -32.725488]",POINT (18.02475695 -32.7611617)
{'place_id': '62b0cb0005d01039'},"Westville, South Africa","[30.8898711, -29.8691368, 30.9629445, -29.7929432]",POINT (30.926407800000003 -29.83104)
{'place_id': 'f7c6dc7b4ee0909f'},"Akasia, South Africa","[28.0463545, -25.691801, 28.1922853, -25.6020338]",POINT (28.1193199 -25.6469174)
"{'place_id': '178a87b8e2eaa375', 'coordinates': {'type': 'Point', 'coordinates': [28.0606, -26.0637]}}","Sandton, South Africa","[27.9829939, -26.1362658, 28.1382322, -25.9811502]",POINT (28.06061305 -26.058708)
{'place_id': 'adf3e724a759ae4a'},"Ulundi, South Africa","[31.3991869, -28.354723, 31.4496123, -28.2649621]",POINT (31.424399600000005 -28.309842550000003)
{'place_id': '42dfd07e3a20e0ee'},"Brackenfell, South Africa","[18.6705652, -33.9098713, 18.7487481, -33.85319]",POINT (18.70965665 -33.88153065)
{'place_id': 'af4757dac9bdd1d9'},"Nelspruit, South Africa","[30.899601, -25.5269318, 31.0370722, -25.4414654]",POINT (30.9683366 -25.484198599999996)
{'place_id': '4d1ef55be5eaf427'},"Chatsworth, South Africa","[30.8379578, -29.9466311, 30.9378615, -29.8679687]",POINT (30.88790965 -29.907299899999998)
{'place_id': 'b521e62763705c2a'},"Ermelo, South Africa","[29.9456965, -26.5620965, 30.0480797, -26.4774206]",POINT (29.9968881 -26.51975855)
{'place_id': '3af151fb875b3cc1'},"Westonaria, South Africa","[27.6347014, -26.3486742, 27.8153178, -26.2154804]",POINT (27.7250096 -26.2820773)
{'place_id': '6e8fc7b4c324847f'},"Wellington, South Africa","[18.9653912, -33.6884461, 19.0275669, -33.6287003]",POINT (18.996479049999998 -33.6585732)
{'place_id': 'c4766870678cded5'},"Eshowe, South Africa","[31.4316111, -28.9119668, 31.5055727, -28.8637521]",POINT (31.4685919 -28.887859449999997)
{'place_id': 'afc182454e8bdb6e'},"Motherwell, South Africa","[25.535966, -33.843319, 25.6225587, -33.769738]",POINT (25.57926235 -33.8065285)
{'place_id': '17d135e90d3a4fde'},"Bethlehem, South Africa","[28.2761002, -28.2839279, 28.371357, -28.2044462]",POINT (28.3237286 -28.24418705)
{'place_id': '07d9f2bf9e888004'},Beit Bridge - Zimbabwe/South Africa Border,"[29.98479989345356, -22.231901217195855, 29.98479989345356, -22.231901217195855]",POINT (29.98479989345356 -22.231901217195855)
"{'place_id': '52e073e7724385c3', 'coordinates': {'type': 'Point', 'coordinates': [30.33515272, -29.57795597]}}","Pietermaritzburg, South Africa","[30.2563496, -29.6999989, 30.4512134, -29.5328007]",POINT (30.3537815 -29.6163998)
{'place_id': 'ebe662e79df82391'},"Makhado, South Africa","[29.881609, -23.0738754, 29.9401988, -23.0222221]",POINT (29.910903900000005 -23.04804875)
"{'place_id': '8b9ec16fdc0d7e55', 'coordinates': {'type': 'Point', 'coordinates': [18.42156106, -33.92057066]}}","Cape Town, South Africa","[18.3180332, -34.35839, 18.6600898, -33.8849254]",POINT (18.4241 -33.9249)
{'place_id': '9fed6281f1cd81f6'},"Ekangala, South Africa","[28.7208101, -25.7048283, 28.7574323, -25.6514334]",POINT (28.7391212 -25.67813085)
{'place_id': '74a72b4ef7894eb4'},"Springs, South Africa","[28.3884227, -26.3364754, 28.6276528, -26.1570961]",POINT (28.50803775 -26.24678575)
{'place_id': '07d9d40dfb085001'},Greenways Golf Estate,"[18.839091636776374, -34.12951266686063, 18.839091636776374, -34.12951266686063]",POINT (18.839091636776374 -34.12951266686063)
{'place_id': '79a7bff6781a7bf7'},"Ibhayi, South Africa","[25.5103988, -33.9101869, 25.6106232, -33.8293343]",POINT (25.560510999999998 -33.8697606)
{'place_id': 'c2b237c9a984a86d'},"Klipfontein View, South Africa","[28.1543697, -26.0565798, 28.1658125, -26.0382593]",POINT (28.160091100000006 -26.047419549999997)
{'place_id': 'f704de521fc59dd4'},"Kgotsong, South Africa","[26.633706, -27.4024367, 26.6683413, -27.3564723]",POINT (26.65102365 -27.3794545)
{'place_id': '0096a6f81ee68f92'},"Margate, South Africa","[30.3426828, -30.8763596, 30.381758, -30.8322275]",POINT (30.362220399999998 -30.85429355)
{'place_id': '053839cde7a1ccac'},"Ga-Rankuwa, South Africa","[27.9576259, -25.6327029, 28.0467066, -25.5427528]",POINT (28.002166250000002 -25.58772785)
{'place_id': '12cd1181bc28a987'},"Inanda, South Africa","[30.9119502, -29.7230138, 30.9822979, -29.6455305]",POINT (30.947124050000003 -29.684272149999998)
{'place_id': '79c23a5b40729c2d'},"Kimberley, South Africa","[24.7079525, -28.8097482, 24.8197127, -28.6816236]",POINT (24.7638326 -28.7456859)
{'place_id': 'dbd5d49194a0ad47'},"Nooitgedacht, South Africa","[27.8577397, -26.0565677, 27.9256904, -25.9695524]",POINT (27.891715050000002 -26.01306005)
{'place_id': '3e46a98adcf05e59'},"Meadowlands, South Africa","[27.8651453, -26.2359005, 27.9219768, -26.1964777]",POINT (27.89356105 -26.2161891)
{'place_id': '27b2c17b988dcc52'},"eMalahleni, South Africa","[29.0788593, -25.9971906, 29.3804417, -25.7928753]",POINT (29.229650499999998 -25.89503295)
{'place_id': '8b611b9001c31460'},"KwaMakhutha, South Africa","[30.8456381, -30.0479258, 30.9051545, -30.00208]",POINT (30.8753963 -30.0250029)
{'place_id': 'bf294338ce2b6635'},"Galeshewe, South Africa","[24.688902, -28.7386961, 24.76347, -28.6949063]",POINT (24.726185999999995 -28.7168012)
{'place_id': '7fb9a91f3f78a035'},"Sasolburg, South Africa","[27.788683, -26.8514118, 27.8892926, -26.7454891]",POINT (27.838987799999998 -26.79845045)
{'place_id': '6b23415ca0fabc6c'},"Vosloorus, South Africa","[28.1713026, -26.3867134, 28.2344359, -26.3236242]",POINT (28.20286925 -26.3551688)
{'place_id': '98665f7e92424b02'},"Kraaifontein, South Africa","[18.6635684, -33.8770655, 18.7906474, -33.769571]",POINT (18.7271079 -33.82331825)
{'place_id': '7cc7c34f0019bd8f'},"Eersterivier, South Africa","[18.7007657, -34.0266395, 18.7516613, -33.9892351]",POINT (18.7262135 -34.0079373)
{'place_id': '875fea8793776240'},"Lichtenburg, South Africa","[26.147006, -26.1966681, 26.1940777, -26.1188571]",POINT (26.17054185 -26.157762599999998)
{'place_id': '26c50236da5a3de1'},"Kriel, South Africa","[29.2417454, -26.2710594, 29.2824823, -26.2367359]",POINT (29.26211385 -26.25389765)
{'place_id': '7b1d15520e59a974'},"Matsieng, South Africa","[28.6942263, -28.6885827, 28.8337349, -28.5771014]",POINT (28.7639806 -28.632842049999997)
{'place_id': '07d9e4bc31c87002'},Steve Biko Academic Hospital,"[28.20319506868242, -25.72955560534506, 28.20319506868242, -25.72955560534506]",POINT (28.20319506868242 -25.72955560534506)
{'place_id': '8bddec5b0f556a0e'},"Ventersburg, South Africa","[27.1182592, -28.092388, 27.1477444, -28.0714465]",POINT (27.133001800000002 -28.08191725)
{'place_id': '89dc7f094d61bf26'},"Esikhawini, South Africa","[31.8809948, -28.8926583, 31.9271734, -28.8555478]",POINT (31.9040841 -28.874103050000002)
{'place_id': '666e4f309a76e024'},"Edendale, South Africa","[30.2411022, -29.7313938, 30.3379618, -29.6308843]",POINT (30.289532 -29.68113905)
{'place_id': '0fc2b83367d47000'},Shell,"[28.13178914, -26.25266719, 28.13178914, -26.25266719]",POINT (28.13178914 -26.25266719)
{'place_id': 'f97402bb7ad87a15'},"Hout Bay, South Africa","[18.3076084, -34.0618095, 18.3950931, -34.005386]",POINT (18.35135075 -34.03359775)
