,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9080,8009240,710,SAF8500,8500,2017-02-07,2017,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,News24 (South Africa),National,A small group of Durban University of Technology (DUT) students embarked on a peaceful march to the vice chancellor's office .,0,1622068027,ZAF
9109,8009244,710,SAF8470,8470,2017-01-27,2017,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,IOL,National,"Students trying to register at Unisa in central Durban protested after they were turned away by Unisa staff, who brought registration to a halt.",0,1622068027,ZAF
9119,6063865,710,SAF8460,8460,2017-01-25,2017,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town,-33.9253,18.4239,1,Cape Argus,Subnational,"A community worker was joined by Uitsig High School pupils, as they hand over a memorandum in protest to the Western Cape Provincial Legislature to keep their school open.",0,1571164552,ZAF
9128,4765931,710,SAF8452,8452,2017-01-20,2017,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Eastern Cape,Buffalo City,Buffalo City,East London,-33.0153,27.9116,1,Daily Dispatch (South Africa),National,Lectures were brought to a halt at Buffalo City Technical and Vocational Education and Training (TVET) College in East London when students joined a nationwide shutdown at colleges yesterday,0,1552577117,ZAF
9130,6120261,710,SAF8450,8450,2017-01-19,2017,1,Riots,Violent demonstration,Rioters (South Africa),Students (South Africa),5,,,0,50,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Pretoria,-25.7449,28.1878,1,Pretoria News,Subnational,"Students protested, burnt tyres and carried placards outside the Thuto Bophelo Nursing Academy in Pretoria.",0,1571164634,ZAF
9237,7522539,710,SAF8345,8345,2016-11-16,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Braamfontein,-26.1982,28.0219,1,eNCA (South Africa),National,Students staged a protest at the University of Wits night to have the alleged perpetrator evicted from the premises after students protested that it was not conducive for the victim to live in the same building as the perpetrator.,0,1611019295,ZAF
9247,5741471,710,SAF8333,8333,2016-11-10,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg,-26.2023,28.0436,1,African News Agency,National,Around 50 UJ students gathered at The Yard in Johannesburg with the intention to march after the death of a student over the weekend.,0,1567462123,ZAF
9249,7525002,710,SAF8329,8329,2016-11-10,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Auckland Park,-26.1814,28.0039,1,News24 (South Africa),National,A handful of University of Johannesburg students marched in Auckland Park to demand that the university removes 'hired bouncers'.,0,1611019302,ZAF
9278,8466084,710,SAF8307,8307,2016-11-02,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Eastern Cape,Buffalo City,Buffalo City,Qonce,-32.8803,27.3945,1,Weekender,National,Pupils from schools in and around King Williams Town disrupted exams at the De Vos High School. No reports of violence were reported.,0,1630985298,ZAF
9289,8465190,710,SAF8294,8294,2016-10-26,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Eastern Cape,Buffalo City,Buffalo City,Qonce,-32.8803,27.3945,1,GroundUp,National,"Learners from several schools in the King William's Town area tried to stop matric exam papers being distributed in a bid to force the Eastern Cape Department of Education to fix their schools. Hundreds of learners blocked roads in King William's Town then moved to De Vos Malan High School, where matric exam papers are kept",0,1630985296,ZAF
9299,7523071,710,SAF8281,8281,2016-10-24,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Braamfontein,-26.1982,28.0219,1,GroundUp,National,Wits University students with disabilities participated in a protest march from the David Webster residency to the Great Hall,0,1611019297,ZAF
9304,5300352,710,SAF8279,8279,2016-10-21,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Somerset West,-34.084,18.8211,1,News24 (South Africa),National,Pupils from around 30 Western Cape schools protested in Somerset West and Observatory for premier Helen Zille to take their demands for safe schools seriously,0,1561469250,ZAF
9307,7524968,710,SAF8278,8278,2016-10-21,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Mowbray,-33.9333,18.4667,1,News24 (South Africa),National,Pupils from around 30 Western Cape schools protested in Somerset West and Observatory (Mowbray) for premier Helen Zille to take their demands for safe schools seriously,0,1611019302,ZAF
9331,7524985,710,SAF8249,8249,2016-10-14,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Athlone,-33.9626,18.5016,1,News24 (South Africa),National,"Hundreds of Athlone students, teachers and activists marched the same road where three youngsters were shot dead by police in 1985.",0,1611019302,ZAF
9479,8009315,710,SAF8106,8106,2016-09-19,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Isipingo,-29.9864,30.9185,1,Daily News (South Africa),National,"Isipingo Primary School pupils boycotted class and disrupted teaching, demanding a refund for their cancelled sports day and calling for the principal to vacate his post.",0,1622068027,ZAF
9481,5300238,710,SAF8102,8102,2016-09-16,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,Cape Winelands,Stellenbosch,Stellenbosch,-33.9346,18.8668,1,News24 (South Africa),National,Protest action by students took place in the library at the University of Stellenbosch.,0,1561469250,ZAF
9482,7524989,710,SAF8101,8101,2016-09-16,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Rondebosch,-33.9633,18.4764,1,News24 (South Africa),National,The University of Cape Town has closed its libraries and 24/7 study area during ongoing protests by hundreds of student.,0,1611019302,ZAF
9485,7522999,710,SAF8098,8098,2016-09-15,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Rondebosch,-33.9633,18.4764,1,GroundUp,National,"More than 150 students and workers marched from the Belmont Square Conference Centre to University of Cape Town (UCT) Upper Campus, singing and interrupting traffic, to protest against outsourcing, low wages for workers, and suspensions and expulsions of student activists.",0,1611019297,ZAF
9486,8559511,710,SAF8099,8099,2016-09-15,2016,1,Riots,Violent demonstration,Rioters (South Africa),Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,North West,Dr Ruth Segomotsi Mompati,Kagisano,Tlakgameng,-26.4694,24.3403,1,African News Agency,National,A police officer was injured when learners went into a rampage damaging property in Tlakgameng near Ganyesa.,0,1632244575,ZAF
9488,7523065,710,SAF8094,8094,2016-09-14,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Observatory,-33.9361,18.4679,1,GroundUp,National,"Dozens of students from Thandokhulu High School in Observatory protested in front of the school gate, demanding a change in the school rules on hair.",0,1611019297,ZAF
9491,4792207,710,SAF8090,8090,2016-09-13,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town,-33.9253,18.4239,1,GroundUp,National,About 70 students from iQhayiya High School in Khayelitsha learners protested outside the Western Cape Department of Education demanding the right to wear their hair as they liked.,0,1552577179,ZAF
